### NIRSPEC Brown Dwarf Spectroscopic Survey (BDSS)
### McLean et al. 2007, ApJ, 658. 1217
### Please cite the above reference if you use  
### or display this data in your publication.
###     2MASS 0036 -- NIRSPEC-3 Filter, dispersion order 58
### lambda (microns)   Flambda (Normalized)
       1.3045346      0.65615655
       1.3045534      0.65898703
       1.3045722      0.66055895
       1.3045910      0.65783837
       1.3046097      0.66507979
       1.3046286      0.66277510
       1.3046474      0.67288466
       1.3046661      0.65805622
       1.3046850      0.67510081
       1.3047037      0.67145719
       1.3047224      0.67919255
       1.3047413      0.68632252
       1.3047600      0.69435416
       1.3047788      0.69510984
       1.3047976      0.70369795
       1.3048164      0.70678627
       1.3048352      0.70384551
       1.3048539      0.70553238
       1.3048727      0.70031451
       1.3048916      0.70505125
       1.3049103      0.70023024
       1.3049291      0.69991454
       1.3049478      0.70446061
       1.3049667      0.71343666
       1.3049855      0.72427665
       1.3050042      0.71854270
       1.3050231      0.72257114
       1.3050419      0.72719760
       1.3050606      0.73345656
       1.3050794      0.75113334
       1.3050982      0.74833276
       1.3051170      0.76333633
       1.3051358      0.76628369
       1.3051546      0.76297403
       1.3051734      0.75564019
       1.3051922      0.74862206
       1.3052109      0.75609764
       1.3052298      0.73657284
       1.3052485      0.74250406
       1.3052673      0.74478584
       1.3052862      0.72961723
       1.3053049      0.73697165
       1.3053237      0.72087185
       1.3053425      0.73564903
       1.3053613      0.72766825
       1.3053801      0.73577407
       1.3053988      0.74561490
       1.3054176      0.74688743
       1.3054365      0.74562383
       1.3054552      0.75707582
       1.3054740      0.76202653
       1.3054929      0.76967607
       1.3055116      0.77038980
       1.3055304      0.77881327
       1.3055491      0.78580693
       1.3055680      0.79148031
       1.3055868      0.79238898
       1.3056055      0.79474609
       1.3056244      0.80020588
       1.3056432      0.81450776
       1.3056619      0.83059202
       1.3056807      0.82879798
       1.3056995      0.83329474
       1.3057183      0.85750657
       1.3057371      0.82443325
       1.3057558      0.82240621
       1.3057747      0.81955982
       1.3057934      0.80638019
       1.3058122      0.80339789
       1.3058311      0.79655566
       1.3058498      0.78794270
       1.3058686      0.77272594
       1.3058874      0.76025267
       1.3059062      0.75809827
       1.3059250      0.76196983
       1.3059436      0.75725211
       1.3059625      0.74214797
       1.3059813      0.73907402
       1.3060000      0.72391512
       1.3060188      0.71529788
       1.3060377      0.71608035
       1.3060564      0.70601312
       1.3060752      0.69049619
       1.3060939      0.68178032
       1.3061128      0.67867453
       1.3061316      0.68266608
       1.3061503      0.67139506
       1.3061692      0.67019825
       1.3061880      0.62011141
       1.3062067      0.56183487
       1.3062255      0.66823140
       1.3062443      0.68926444
       1.3062631      0.68794259
       1.3062819      0.69201531
       1.3063006      0.69982483
       1.3063195      0.70453595
       1.3063383      0.70950102
       1.3063570      0.72570567
       1.3063759      0.73111965
       1.3063946      0.73756423
       1.3064134      0.72928405
       1.3064323      0.72579304
       1.3064510      0.73611113
       1.3064698      0.73615695
       1.3064885      0.69683165
       1.3065074      0.73050882
       1.3065262      0.73656779
       1.3065449      0.76457780
       1.3065637      0.77676138
       1.3065826      0.77808128
       1.3066013      0.76981819
       1.3066201      0.76803230
       1.3066388      0.76892272
       1.3066577      0.76836121
       1.3066765      0.77366296
       1.3066952      0.77736677
       1.3067141      0.78136842
       1.3067329      0.79541400
       1.3067516      0.83219579
       1.3067705      0.81537760
       1.3067892      0.81199144
       1.3068080      0.80625593
       1.3068268      0.79695952
       1.3068456      0.79243169
       1.3068644      0.78166743
       1.3068832      0.77118353
       1.3069019      0.75898830
       1.3069208      0.75082850
       1.3069395      0.73548632
       1.3069583      0.73539895
       1.3069772      0.71737307
       1.3069959      0.71175329
       1.3070147      0.70069662
       1.3070335      0.68821791
       1.3070523      0.67753053
       1.3070711      0.70067759
       1.3070898      0.70321566
       1.3071086      0.69928973
       1.3071275      0.70799511
       1.3071462      0.71366655
       1.3071649      0.72012239
       1.3071838      0.73492869
       1.3072025      0.74684976
       1.3072213      0.75777868
       1.3072400      0.76573577
       1.3072589      0.77396702
       1.3072777      0.78075798
