### NIRSPEC Brown Dwarf Spectroscopic Survey (BDSS)
### McLean et al. 2007, ApJ, 658. 1217
### Please cite the above reference if you use  
### or display this data in your publication.
###     2MASS 0036 -- NIRSPEC-3 Filter, dispersion order 60
### lambda (microns)   Flambda (Normalized)
       1.2612693      0.77255038
       1.2612875      0.77454173
       1.2613057      0.79537856
       1.2613238      0.80781499
       1.2613419      0.79897602
       1.2613601      0.81891359
       1.2613783      0.81525488
       1.2613964      0.82814332
       1.2614145      0.81712375
       1.2614327      0.80551941
       1.2614509      0.81534971
       1.2614690      0.79004539
       1.2614871      0.79308495
       1.2615053      0.80238225
       1.2615235      0.80201875
       1.2615416      0.79384988
       1.2615597      0.78035496
       1.2615779      0.77827708
       1.2615961      0.77940551
       1.2616142      0.76460633
       1.2616323      0.78670869
       1.2616505      0.79820477
       1.2616687      0.76969651
       1.2616868      0.75624939
       1.2617049      0.75898236
       1.2617231      0.77782192
       1.2617413      0.77419205
       1.2617594      0.76710341
       1.2617775      0.76573594
       1.2617957      0.77123941
       1.2618139      0.76475094
       1.2618320      0.76742661
       1.2618501      0.76426338
       1.2618683      0.74818128
       1.2618865      0.75354764
       1.2619046      0.74783674
       1.2619227      0.74156123
       1.2619408      0.72617058
       1.2619591      0.71342003
       1.2619772      0.70092117
       1.2619953      0.68400539
       1.2620136      0.67158714
       1.2620317      0.66301842
       1.2620498      0.65534067
       1.2620679      0.65581401
       1.2620862      0.65816925
       1.2621043      0.65432761
       1.2621224      0.64953890
       1.2621405      0.65135166
       1.2621587      0.65010983
       1.2621768      0.65724233
       1.2621949      0.65599458
       1.2622130      0.66423022
       1.2622313      0.67557378
       1.2622494      0.67172424
       1.2622675      0.66288132
       1.2622856      0.67475709
       1.2623039      0.66648589
       1.2623220      0.67316243
       1.2623401      0.66579129
       1.2623582      0.65437463
       1.2623765      0.65551294
       1.2623946      0.64374582
       1.2624127      0.65039273
       1.2624308      0.64828285
       1.2624491      0.66754004
       1.2624672      0.66721408
       1.2624853      0.67597995
       1.2625034      0.67030540
       1.2625217      0.67831820
       1.2625398      0.69076689
       1.2625579      0.70084334
       1.2625760      0.70570870
       1.2625943      0.72160470
       1.2626124      0.73144764
       1.2626305      0.74181885
       1.2626486      0.74897465
       1.2626669      0.74506861
       1.2626850      0.74648468
       1.2627031      0.75767771
       1.2627212      0.74517253
       1.2627395      0.72652815
       1.2627576      0.72066039
       1.2627757      0.75014576
       1.2627938      0.76689756
       1.2628120      0.75844027
       1.2628302      0.75632565
       1.2628483      0.75885434
       1.2628664      0.73908944
       1.2628846      0.74349292
       1.2629028      0.75150730
       1.2629209      0.73782232
       1.2629390      0.73235521
       1.2629572      0.73014537
       1.2629754      0.72770952
       1.2629935      0.72087810
       1.2630116      0.70763485
       1.2630298      0.71278904
       1.2630480      0.70428473
       1.2630661      0.69494871
       1.2630842      0.69188702
       1.2631024      0.68798098
       1.2631206      0.69208615
       1.2631387      0.69255910
       1.2631568      0.67408383
       1.2631750      0.66197257
       1.2631932      0.70024554
       1.2632113      0.70066633
       1.2632294      0.69259387
       1.2632476      0.67382345
       1.2632658      0.68532150
       1.2632839      0.68358065
       1.2633020      0.67819888
       1.2633202      0.66652896
       1.2633384      0.67719175
       1.2633565      0.67274836
       1.2633746      0.66898495
       1.2633927      0.67799698
       1.2634109      0.68021551
       1.2634290      0.68445542
       1.2634472      0.70159167
       1.2634653      0.70054147
       1.2634835      0.68503268
       1.2635016      0.68097886
       1.2635198      0.69315887
       1.2635379      0.69707321
       1.2635561      0.69130226
       1.2635742      0.69304627
       1.2635924      0.69805822
       1.2636105      0.69669233
       1.2636287      0.69432681
       1.2636468      0.70448228
       1.2636650      0.69928187
       1.2636831      0.70341786
       1.2637013      0.70351664
       1.2637194      0.71695467
       1.2637376      0.73604552
       1.2637557      0.75492854
       1.2637738      0.76090890
       1.2637920      0.76579679
       1.2638102      0.77340816
       1.2638283      0.76488409
       1.2638464      0.75716486
       1.2638646      0.76248934
       1.2638828      0.75093558
       1.2639009      0.73001182
       1.2639190      0.70732865
       1.2639372      0.68226771
       1.2639554      0.67880972
       1.2639735      0.69291865
       1.2639916      0.68926152
       1.2640098      0.69141170
       1.2640280      0.68076827
       1.2640461      0.67358757
       1.2640642      0.67177679
       1.2640824      0.66446768
       1.2641006      0.66601808
       1.2641187      0.65646555
       1.2641368      0.65985479
       1.2641550      0.64832039
       1.2641732      0.64132183
       1.2641913      0.64932317
       1.2642094      0.64813627
       1.2642276      0.64601216
       1.2642458      0.63227701
       1.2642639      0.59960233
       1.2642820      0.58171893
       1.2643002      0.59286020
       1.2643184      0.59746598
       1.2643365      0.59890892
       1.2643546      0.59805983
       1.2643728      0.60293428
       1.2643910      0.61573698
       1.2644091      0.63265434
       1.2644272      0.63406369
       1.2644454      0.64892727
       1.2644636      0.66837846
       1.2644817      0.63820640
       1.2644998      0.65407435
       1.2645180      0.70008670
       1.2645362      0.70352889
       1.2645543      0.70194174
       1.2645724      0.71365433
       1.2645905      0.70844325
       1.2646087      0.71061476
       1.2646268      0.69766587
       1.2646449      0.68537010
       1.2646631      0.67833519
