### NIRSPEC Brown Dwarf Spectroscopic Survey (BDSS)
### McLean et al. 2007, ApJ, 658. 1217
### Please cite the above reference if you use  
### or display this data in your publication.
###     2MASS 0036 -- NIRSPEC-3 Filter, dispersion order 64
### lambda (microns)   Flambda (Normalized)
       1.1829402      0.72320816
       1.1829571      0.72973092
       1.1829741      0.73012544
       1.1829911      0.71611880
       1.1830080      0.69946634
       1.1830250      0.72653992
       1.1830419      0.73559114
       1.1830588      0.75537354
       1.1830758      0.77053637
       1.1830927      0.78191582
       1.1831096      0.78408148
       1.1831265      0.78781886
       1.1831435      0.80752474
       1.1831605      0.81892401
       1.1831774      0.80909090
       1.1831944      0.82789673
       1.1832113      0.83336838
       1.1832282      0.81329376
       1.1832452      0.79968957
       1.1832622      0.82052190
       1.1832791      0.79726142
       1.1832961      0.79573134
       1.1833130      0.80643358
       1.1833299      0.82242904
       1.1833470      0.81605338
       1.1833639      0.83623902
       1.1833808      0.84468440
       1.1833977      0.84141727
       1.1834147      0.84969215
       1.1834317      0.82986732
       1.1834486      0.82550189
       1.1834656      0.82239732
       1.1834825      0.82585081
       1.1834994      0.80469375
       1.1835164      0.81204083
       1.1835334      0.79444749
       1.1835503      0.79576346
       1.1835673      0.79146385
       1.1835842      0.76706147
       1.1836011      0.75155766
       1.1836182      0.73300083
       1.1836351      0.74606182
       1.1836520      0.73833728
       1.1836689      0.72803431
       1.1836859      0.72243459
       1.1837029      0.72977811
       1.1837198      0.71351659
       1.1837368      0.71407288
       1.1837537      0.73322525
       1.1837706      0.73646542
       1.1837876      0.72243737
       1.1838046      0.71457127
       1.1838215      0.73156987
       1.1838385      0.72174945
       1.1838554      0.71219269
       1.1838723      0.70240517
       1.1838894      0.68822883
       1.1839063      0.70686496
       1.1839232      0.69534515
       1.1839401      0.70004721
       1.1839571      0.68342805
       1.1839740      0.68107881
       1.1839910      0.67371468
       1.1840080      0.66467376
       1.1840249      0.64325145
       1.1840418      0.62228670
       1.1840588      0.64152947
       1.1840758      0.62754503
       1.1840927      0.62179107
       1.1841097      0.63182720
       1.1841266      0.65271186
       1.1841435      0.64540998
       1.1841606      0.68570037
       1.1841775      0.70096827
       1.1841944      0.69357162
       1.1842113      0.71841848
       1.1842283      0.73944509
       1.1842452      0.78747946
       1.1842623      0.78759642
       1.1842792      0.78215927
       1.1842960      0.76312228
       1.1843129      0.79281154
       1.1843299      0.79915152
       1.1843469      0.79451925
       1.1843638      0.80272713
       1.1843808      0.80227909
       1.1843977      0.81353959
       1.1844146      0.83232163
       1.1844317      0.82691739
       1.1844486      0.84215871
       1.1844655      0.84838768
       1.1844824      0.87378328
       1.1844994      0.90480914
       1.1845163      0.90642288
       1.1845334      0.89904408
       1.1845503      0.92028836
       1.1845672      0.91620841
       1.1845841      0.91217604
       1.1846011      0.92565296
       1.1846181      0.91833363
       1.1846350      0.92589086
       1.1846520      0.92291714
       1.1846689      0.93106514
       1.1846858      0.91591501
       1.1847029      0.91786180
       1.1847198      0.91598638
       1.1847367      0.90430955
       1.1847537      0.88594780
       1.1847706      0.86839093
       1.1847875      0.86665824
       1.1848046      0.85040981
       1.1848215      0.83645313
       1.1848384      0.81300829
       1.1848553      0.79557473
       1.1848723      0.77570906
       1.1848893      0.75529940
       1.1849062      0.75951812
       1.1849232      0.75113896
       1.1849401      0.74288430
       1.1849570      0.77258308
       1.1849741      0.76961848
       1.1849910      0.76511269
       1.1850079      0.76113940
       1.1850249      0.73443139
       1.1850418      0.75465747
       1.1850587      0.77279719
       1.1850758      0.76603336
       1.1850927      0.76576413
       1.1851096      0.77973747
       1.1851265      0.77420158
       1.1851435      0.75850983
       1.1851605      0.75730964
       1.1851774      0.77144236
       1.1851944      0.77069695
       1.1852113      0.73849508
       1.1852282      0.73912948
       1.1852453      0.71797995
       1.1852622      0.70108127
       1.1852791      0.70929470
       1.1852961      0.67634504
       1.1853130      0.67817725
       1.1853299      0.67950948
       1.1853470      0.68144359
       1.1853639      0.68573606
       1.1853808      0.69090637
       1.1853977      0.67362388
       1.1854147      0.67208944
       1.1854317      0.68934656
       1.1854486      0.66555716
       1.1854656      0.68500452
       1.1854825      0.72739080
       1.1854994      0.74648766
       1.1855164      0.76827951
       1.1855333      0.79717459
       1.1855502      0.82936773
       1.1855672      0.82998627
       1.1855841      0.83690910
       1.1856010      0.83288466
       1.1856181      0.82648520
       1.1856350      0.83290448
       1.1856519      0.83805894
       1.1856688      0.83115593
       1.1856858      0.81007421
       1.1857028      0.81353563
       1.1857197      0.81086324
       1.1857367      0.80591496
       1.1857536      0.81066896
       1.1857705      0.81620405
       1.1857875      0.81102580
       1.1858045      0.81420571
       1.1858214      0.81217168
       1.1858384      0.81871387
       1.1858553      0.81252456
       1.1858722      0.80880542
       1.1858893      0.81991526
       1.1859062      0.82559309
       1.1859231      0.81234217
       1.1859400      0.86636086
       1.1859570      0.89485707
       1.1859740      0.86361711
       1.1859909      0.82539484
       1.1860079      0.80700533
       1.1860248      0.80956670
       1.1860417      0.80323068
       1.1860587      0.80838514
       1.1860757      0.80445982
       1.1860926      0.81896763
       1.1861096      0.82683412
       1.1861265      0.82704030
       1.1861434      0.83218683
       1.1861605      0.81817067
       1.1861774      0.80932087
       1.1861943      0.82723062
       1.1862112      0.81494715
       1.1862282      0.81793674
       1.1862452      0.83277364
       1.1862621      0.79655368
       1.1862791      0.79286309
       1.1862960      0.80728288
       1.1863129      0.81247302
       1.1863299      0.81147781
       1.1863469      0.77847938
       1.1863638      0.75695160
       1.1863808      0.78978191
       1.1863977      0.77617613
       1.1864146      0.79967054
       1.1864317      0.80901953
       1.1864486      0.79057649
       1.1864655      0.80141988
       1.1864824      0.80690224
