### NIRSPEC Brown Dwarf Spectroscopic Survey (BDSS)
### McLean et al. 2007, ApJ, 658. 1217
### Please cite the above reference if you use  
### or display this data in your publication.
###     2MASS 0036 -- NIRSPEC-3 Filter, dispersion order 59
### lambda (microns)   Flambda (Normalized)
       1.2825221       1.0024908
       1.2825405      0.99981767
       1.2825590      0.98465407
       1.2825775      0.98354869
       1.2825960      0.97212548
       1.2826145      0.94684742
       1.2826329      0.94484946
       1.2826514      0.92952707
       1.2826699      0.90738947
       1.2826884      0.90080058
       1.2827068      0.82509105
       1.2827253      0.89504042
       1.2827438      0.89116362
       1.2827623      0.88171499
       1.2827807      0.89175127
       1.2827992      0.89492366
       1.2828176      0.89585620
       1.2828360      0.89621613
       1.2828544      0.90078183
       1.2828729      0.89295913
       1.2828914      0.91131874
       1.2829099      0.92023650
       1.2829283      0.96346833
       1.2829468      0.97339564
       1.2829653      0.93798610
       1.2829838      0.94172248
       1.2830023      0.95327592
       1.2830207      0.95873619
       1.2830392      0.95625044
       1.2830577      0.94068701
       1.2830762      0.93875796
       1.2830946      0.93494930
       1.2831130      0.91954602
       1.2831315      0.90611685
       1.2831500      0.89257908
       1.2831684      0.88337371
       1.2831869      0.88577192
       1.2832054      0.86043195
       1.2832239      0.85702325
       1.2832423      0.85904471
       1.2832608      0.85172831
       1.2832793      0.84970966
       1.2832978      0.84638172
       1.2833163      0.84271020
       1.2833347      0.83145523
       1.2833532      0.83350364
       1.2833717      0.81768208
       1.2833902      0.81455289
       1.2834085      0.80907400
       1.2834270      0.80400169
       1.2834455      0.78843906
       1.2834640      0.79396118
       1.2834824      0.78537163
       1.2835009      0.76300413
       1.2835194      0.76398521
       1.2835379      0.79101092
       1.2835563      0.78714585
       1.2835748      0.79645682
       1.2835933      0.81839299
       1.2836118      0.83587971
       1.2836303      0.85030374
       1.2836487      0.85547648
       1.2836672      0.86819255
       1.2836857      0.89005239
       1.2837040      0.89842082
       1.2837225      0.90113171
       1.2837410      0.91360711
       1.2837595      0.91908045
       1.2837780      0.92111403
       1.2837964      0.91503971
       1.2838149      0.89490120
       1.2838334      0.92510444
       1.2838519      0.91710664
       1.2838703      0.91315761
       1.2838888      0.90827683
       1.2839073      0.90133111
       1.2839258      0.89922448
       1.2839442      0.88583997
       1.2839627      0.87021678
       1.2839812      0.86771639
       1.2839996      0.85890221
       1.2840180      0.84713317
       1.2840365      0.82182037
       1.2840549      0.81160128
       1.2840734      0.80670180
       1.2840918      0.79917194
       1.2841103      0.78098041
       1.2841288      0.77538615
       1.2841473      0.77151296
       1.2841658      0.76621404
       1.2841842      0.76689722
       1.2842027      0.76712309
       1.2842212      0.77803140
       1.2842397      0.78750548
       1.2842581      0.80037822
       1.2842766      0.81307776
       1.2842950      0.81734918
       1.2843135      0.83112583
       1.2843319      0.84484403
       1.2843504      0.85803625
       1.2843689      0.86411467
       1.2843874      0.86308340
       1.2844058      0.86200963
       1.2844243      0.86126409
       1.2844428      0.84997401
       1.2844613      0.84264153
       1.2844798      0.86348953
       1.2844982      0.85708683
       1.2845167      0.85124129
       1.2845352      0.84312102
       1.2845537      0.85155281
       1.2845721      0.84480984
       1.2845905      0.84313798
       1.2846090      0.83464766
       1.2846275      0.84026334
       1.2846459      0.84066951
       1.2846644      0.83560810
       1.2846829      0.83458189
       1.2847014      0.83289110
       1.2847198      0.83406258
       1.2847383      0.82755643
       1.2847568      0.82302826
       1.2847753      0.82434171
       1.2847938      0.81939942
       1.2848122      0.83690883
       1.2848307      0.83313555
       1.2848492      0.83620369
       1.2848677      0.84371110
       1.2848860      0.84418149
       1.2849045      0.84366650
       1.2849230      0.84030995
       1.2849415      0.85106090
       1.2849599      0.87355577
       1.2849784      0.86635397
       1.2849969      0.85791762
       1.2850154      0.86439573
       1.2850338      0.86524350
       1.2850523      0.86516851
       1.2850708      0.85452619
       1.2850893      0.85326790
       1.2851078      0.84399347
       1.2851262      0.84850552
       1.2851447      0.84447131
       1.2851632      0.83885660
       1.2851815      0.83551987
       1.2852000      0.85403870
       1.2852185      0.82459246
       1.2852370      0.82090462
       1.2852554      0.81586219
       1.2852738      0.82982697
       1.2852923      0.83083783
       1.2853108      0.84380308
       1.2853293      0.85709997
       1.2853477      0.87546500
       1.2853662      0.88340409
       1.2853847      0.88279318
       1.2854032      0.89938345
       1.2854216      0.91407755
       1.2854401      0.91004439
       1.2854586      0.91043815
       1.2854770      0.92604691
       1.2854954      0.93852499
       1.2855139      0.93238250
       1.2855324      0.92644874
       1.2855509      0.92441420
       1.2855693      0.92233716
       1.2855878      0.90150443
       1.2856063      0.87879120
       1.2856248      0.86720116
       1.2856433      0.84882276
       1.2856617      0.82926694
       1.2856802      0.80940906
       1.2856987      0.78403159
       1.2857172      0.76734343
       1.2857356      0.75400718
       1.2857541      0.74830843
       1.2857725      0.72050983
       1.2857910      0.71823165
       1.2858094      0.70446327
       1.2858279      0.69820602
       1.2858464      0.69483514
       1.2858649      0.70136976
       1.2858833      0.70744022
       1.2859018      0.70771124
       1.2859203      0.71446797
       1.2859388      0.71904058
       1.2859573      0.72778661
       1.2859757      0.72277867
       1.2859942      0.72849919
       1.2860127      0.73609525
       1.2860312      0.74978803
       1.2860496      0.74642743
       1.2860680      0.73082212
       1.2860865      0.73407213
       1.2861050      0.72954353
       1.2861234      0.72441795
       1.2861419      0.72702791
       1.2861604      0.72566517
       1.2861789      0.72268264
       1.2861973      0.71254228
       1.2862158      0.72826999
       1.2862343      0.72878556
       1.2862528      0.73411243
       1.2862713      0.73494780
       1.2862897      0.74089939
       1.2863082      0.74955077
       1.2863267      0.75166436
       1.2863452      0.74772678
       1.2863635      0.75260428
       1.2863820      0.75902826
       1.2864005      0.76033698
       1.2864190      0.77474903
       1.2864374      0.78999188
       1.2864559      0.78411806
       1.2864743      0.79474535
       1.2864928      0.80318003
       1.2865112      0.80848748
       1.2865297      0.78526068
       1.2865482      0.75806442
       1.2865667      0.79068884
       1.2865852      0.80266274
       1.2866036      0.80177062
       1.2866221      0.78381249
       1.2866406      0.78283261
       1.2866589      0.78290696
       1.2866774      0.78026814
       1.2866959      0.76755686
       1.2867144      0.76838472
       1.2867329      0.76360897
       1.2867513      0.76009077
       1.2867698      0.75745572
       1.2867883      0.75589935
       1.2868068      0.78628095
       1.2868252      0.79758241
       1.2868437      0.75403487
       1.2868622      0.75789314
       1.2868807      0.76131895
       1.2868991      0.76869406
       1.2869176      0.77415112
       1.2869361      0.78875052
       1.2869545      0.78805728
       1.2869729      0.79639695
       1.2869914      0.79592970
       1.2870099      0.80180376
       1.2870284      0.80869476
       1.2870468      0.80634368
       1.2870653      0.81471059
       1.2870838      0.82837995
       1.2871023      0.84878094
       1.2871208      0.85788105
       1.2871392      0.85380737
       1.2871577      0.85170825
       1.2871762      0.86934489
       1.2871947      0.87566211
       1.2872131      0.87236000
       1.2872316      0.88022939
       1.2872500      0.87648247
       1.2872685      0.88208544
       1.2872869      0.89462557
       1.2873054      0.89909106
       1.2873239      0.88887140
       1.2873424      0.88892664
       1.2873608      0.89255953
       1.2873793      0.89618497
       1.2873978      0.89197467
       1.2874163      0.89964768
       1.2874348      0.89850299
       1.2874532      0.91322426
       1.2874717      0.91470161
       1.2874902      0.91779578
       1.2875087      0.92053234
       1.2875271      0.93856404
       1.2875455      0.93652262
       1.2875640      0.93801928
       1.2875825      0.94207035
       1.2876009      0.94244341
       1.2876194      0.93884153
       1.2876379      0.93111757
       1.2876564      0.92623538
       1.2876748      0.90291564
       1.2876932      0.88184965
       1.2877117      0.85445834
       1.2877302      0.83849754
       1.2877487      0.81602589
       1.2877671      0.78924160
       1.2877856      0.77253587
       1.2878041      0.75678863
       1.2878226      0.74331071
       1.2878409      0.73075798
       1.2878594      0.72858460
       1.2878779      0.73000865
       1.2878964      0.73541203
       1.2879148      0.74522598
       1.2879333      0.74792717
       1.2879518      0.75354687
       1.2879703      0.76488010
       1.2879887      0.77338042
       1.2880072      0.78156422
       1.2880257      0.78823143
       1.2880442      0.78115871
       1.2880626      0.77573849
       1.2880811      0.76553429
       1.2880996      0.72950431
       1.2881181      0.67943276
       1.2881364      0.70549288
       1.2881549      0.73727165
       1.2881734      0.73168342
       1.2881919      0.72644761
       1.2882103      0.72865124
       1.2882288      0.71756067
       1.2882473      0.72849646
       1.2882658      0.73479674
       1.2882843      0.74363800
       1.2883027      0.75526179
       1.2883212      0.75734087
       1.2883397      0.76657367
       1.2883582      0.77973042
       1.2883766      0.77544065
       1.2883951      0.79332595
       1.2884136      0.79364531
       1.2884321      0.80162053
       1.2884504      0.80447148
       1.2884689      0.80842892
       1.2884874      0.80722338
       1.2885059      0.81242501
       1.2885243      0.81432666
       1.2885428      0.81671214
       1.2885613      0.82144644
       1.2885798      0.83278022
       1.2885983      0.82552687
       1.2886167      0.82503779
       1.2886352      0.81887148
       1.2886537      0.81115278
       1.2886722      0.79836323
       1.2886906      0.78202956
       1.2887091      0.76495834
       1.2887275      0.76106966
       1.2887460      0.76353541
       1.2887644      0.74320258
       1.2887829      0.72973783
       1.2888014      0.72791472
       1.2888199      0.72651808
       1.2888383      0.72802967
       1.2888568      0.73224883
       1.2888753      0.73985201
       1.2888938      0.74472107
       1.2889122      0.75404743
       1.2889306      0.75987500
       1.2889491      0.77424528
       1.2889676      0.78402232
       1.2889861      0.79441574
       1.2890045      0.80518803
       1.2890230      0.81627563
       1.2890414      0.83453013
       1.2890599      0.83560650
       1.2890783      0.85380731
       1.2890968      0.85657778
       1.2891153      0.86659009
       1.2891338      0.87974592
       1.2891522      0.87927094
       1.2891707      0.89005139
       1.2891892      0.89456711
       1.2892077      0.89312887
       1.2892262      0.88919658
       1.2892446      0.89736472
       1.2892631      0.90966459
       1.2892816      0.89929266
       1.2893001      0.89627392
       1.2893185      0.90091079
       1.2893369      0.89797111
       1.2893554      0.90668861
       1.2893739      0.91057412
       1.2893923      0.90103693
       1.2894108      0.89515755
       1.2894293      0.89832484
       1.2894478      0.88773235
       1.2894662      0.87823190
       1.2894847      0.87850000
       1.2895032      0.86261501
       1.2895217      0.85150358
       1.2895401      0.83903936
       1.2895586      0.81943965
       1.2895771      0.81366043
       1.2895956      0.80807532
       1.2896141      0.80693222
       1.2896324      0.84315045
       1.2896509      0.83296714
       1.2896694      0.81569114
       1.2896878      0.82784920
       1.2897063      0.82044038
       1.2897248      0.83819188
       1.2897433      0.84956854
       1.2897618      0.85531883
       1.2897802      0.86971217
       1.2897987      0.89011282
       1.2898172      0.89135111
       1.2898357      0.90532554
       1.2898541      0.90249784
       1.2898726      0.92191864
       1.2898911      0.92653586
       1.2899096      0.91849894
       1.2899279      0.92341915
       1.2899464      0.92670141
       1.2899649      0.92481513
       1.2899834      0.91844163
       1.2900018      0.90883073
       1.2900203      0.89903189
       1.2900388      0.88754108
       1.2900573      0.88307738
       1.2900758      0.86342743
       1.2900942      0.84458028
       1.2901127      0.84467772
       1.2901311      0.84843684
       1.2901496      0.84200905
       1.2901680      0.83475868
       1.2901865      0.84502389
       1.2902050      0.83045415
       1.2902234      0.83649913
       1.2902418      0.83310715
       1.2902603      0.83624877
       1.2902788      0.82172458
       1.2902973      0.81237399
       1.2903157      0.80236813
       1.2903342      0.79966965
       1.2903527      0.78975939
       1.2903712      0.78674164
       1.2903897      0.78948629
       1.2904081      0.79015504
       1.2904266      0.78714774
       1.2904451      0.77760616
       1.2904636      0.79449469
       1.2904820      0.81883898
       1.2905005      0.88099501
       1.2905189      0.88585612
       1.2905374      0.82584455
       1.2905558      0.82699108
       1.2905743      0.83355543
       1.2905928      0.83851143
       1.2906113      0.83701298
       1.2906297      0.83735533
       1.2906482      0.83909232
       1.2906667      0.83813759
       1.2906852      0.83528459
       1.2907037      0.82665629
       1.2907221      0.83095275
       1.2907406      0.82617517
       1.2907591      0.81158573
       1.2907776      0.79575038
       1.2907960      0.79161739
       1.2908144      0.79828403
       1.2908329      0.79904853
       1.2908514      0.80568543
       1.2908698      0.82692309
       1.2908883      0.85506541
       1.2909068      0.86016984
       1.2909253      0.85742561
       1.2909437      0.85927254
       1.2909622      0.84959877
       1.2909807      0.83747801
       1.2909992      0.82488274
       1.2910176      0.82153525
       1.2910361      0.81274206
       1.2910546      0.80334675
       1.2910731      0.79091210
       1.2910916      0.78407102
       1.2911099      0.77189138
       1.2911284      0.78744292
       1.2911469      0.78114650
       1.2911653      0.78082147
       1.2911838      0.78304754
       1.2912023      0.77939676
       1.2912208      0.78788775
       1.2912393      0.79886089
       1.2912577      0.80893496
       1.2912762      0.81538936
       1.2912947      0.81825832
       1.2913132      0.82077110
       1.2913316      0.80977303
       1.2913500      0.80632932
       1.2913685      0.79595723
       1.2913870      0.79821022
       1.2914053      0.79084768
       1.2914238      0.79702722
       1.2914423      0.80425891
       1.2914608      0.80214054
       1.2914792      0.80732914
       1.2914977      0.83273374
       1.2915162      0.83461303
       1.2915347      0.84195300
       1.2915532      0.85801098
       1.2915716      0.87623305
       1.2915901      0.88092276
       1.2916086      0.88517684
       1.2916271      0.87017233
       1.2916455      0.87290407
       1.2916640      0.88405297
       1.2916825      0.88843663
       1.2917009      0.89955215
       1.2917193      0.88225653
       1.2917378      0.88798122
       1.2917563      0.88010729
       1.2917748      0.88360486
       1.2917932      0.88542837
       1.2918117      0.88573509
       1.2918302      0.88147402
       1.2918487      0.87116944
       1.2918672      0.86833184
       1.2918856      0.85037187
       1.2919041      0.84405869
       1.2919226      0.82038818
       1.2919411      0.80209490
       1.2919595      0.78075631
       1.2919780      0.77108950
       1.2919964      0.75823270
       1.2920149      0.74468091
       1.2920333      0.73251677
       1.2920518      0.73023865
       1.2920703      0.72930710
       1.2920888      0.71750650
       1.2921072      0.71269728
       1.2921257      0.71632203
       1.2921442      0.71808558
       1.2921627      0.72926146
       1.2921811      0.74577671
       1.2921996      0.76845301
       1.2922181      0.78745402
       1.2922366      0.80613029
       1.2922551      0.81850988
       1.2922735      0.85364238
       1.2922919      0.86935238
       1.2923104      0.89642324
       1.2923289      0.91446092
       1.2923473      0.93685953
       1.2923658      0.93614879
       1.2923843      0.93865094
       1.2924028      0.93643458
       1.2924212      0.96423090
       1.2924397      0.96550669
       1.2924582      0.94879501
       1.2924767      0.96117374
       1.2924951      0.96380093
       1.2925136      0.95199941
       1.2925321      0.94296623
       1.2925506      0.93499211
       1.2925690      0.93554524
       1.2925873      0.93030703
       1.2926058      0.93520611
       1.2926243      0.92923301
       1.2926427      0.92160606
       1.2926612      0.91478685
       1.2926797      0.90799974
       1.2926982      0.85346311
       1.2927167      0.75759046
       1.2927351      0.83451569
       1.2927536      0.86740716
       1.2927721      0.86834817
       1.2927906      0.85904398
       1.2928090      0.85450370
       1.2928275      0.84881372
       1.2928460      0.83880097
       1.2928645      0.82836734
       1.2928828      0.82153789
       1.2929013      0.81163932
       1.2929198      0.79215270
       1.2929383      0.80580254
       1.2929567      0.80804515
       1.2929752      0.80418984
