### NIRSPEC Brown Dwarf Spectroscopic Survey (BDSS)
### McLean et al. 2007, ApJ, 658. 1217
### Please cite the above reference if you use  
### or display this data in your publication.
###     2MASS 0036 -- NIRSPEC-3 Filter, dispersion order 62
### lambda (microns)   Flambda (Normalized)
       1.2249583      0.97022859
       1.2249759      0.89908525
       1.2249934      0.89293783
       1.2250109      0.90429648
       1.2250284      0.90164149
       1.2250460      0.89901577
       1.2250635      0.89678134
       1.2250809      0.90300190
       1.2250984      0.88277136
       1.2251159      0.86540791
       1.2251335      0.86666591
       1.2251510      0.85887650
       1.2251685      0.84954382
       1.2251860      0.84681570
       1.2252035      0.83242539
       1.2252211      0.83124418
       1.2252385      0.82775540
       1.2252560      0.82594518
       1.2252735      0.82657784
       1.2252910      0.81166824
       1.2253086      0.80779182
       1.2253261      0.81056383
       1.2253436      0.82191151
       1.2253611      0.83292640
       1.2253787      0.84759830
       1.2253961      0.85210373
       1.2254136      0.85077989
       1.2254311      0.85623248
       1.2254486      0.86062454
       1.2254662      0.86210197
       1.2254837      0.86318810
       1.2255012      0.87104700
       1.2255187      0.87894247
       1.2255361      0.87238912
       1.2255537      0.86302354
       1.2255712      0.87362153
       1.2255887      0.86737172
       1.2256062      0.87478080
       1.2256238      0.86788370
       1.2256413      0.86217146
       1.2256587      0.87636429
       1.2256762      0.89010365
       1.2256936      0.89371311
       1.2257112      0.89186998
       1.2257287      0.91177871
       1.2257462      0.90804125
       1.2257637      0.90514856
       1.2257813      0.89874515
       1.2257988      0.88111839
       1.2258163      0.87050211
       1.2258338      0.85485379
       1.2258512      0.83370169
       1.2258688      0.82570382
       1.2258863      0.80974466
       1.2259038      0.77891978
       1.2259213      0.77598686
       1.2259388      0.74096008
       1.2259564      0.70762869
       1.2259739      0.69146985
       1.2259913      0.69258743
       1.2260088      0.69366332
       1.2260263      0.68932392
       1.2260439      0.68119185
       1.2260614      0.67699141
       1.2260789      0.67460449
       1.2260964      0.67893840
       1.2261140      0.69174486
       1.2261315      0.69748526
       1.2261489      0.70917670
       1.2261664      0.73059723
       1.2261839      0.73393937
       1.2262015      0.75073159
       1.2262190      0.75416552
       1.2262365      0.76807310
       1.2262540      0.77602343
       1.2262716      0.78081045
       1.2262891      0.80819409
       1.2263065      0.81007013
       1.2263240      0.82816498
       1.2263415      0.84002099
       1.2263591      0.86206906
       1.2263766      0.85848885
       1.2263941      0.84315504
       1.2264116      0.84881608
       1.2264292      0.84600750
       1.2264466      0.82279650
       1.2264641      0.81136837
       1.2264816      0.80431035
       1.2264991      0.80203204
       1.2265167      0.81401604
       1.2265342      0.79890530
       1.2265517      0.80476748
       1.2265692      0.80725058
       1.2265868      0.79854691
       1.2266042      0.80200278
       1.2266217      0.80163708
       1.2266392      0.81590671
       1.2266567      0.82224429
       1.2266743      0.82395943
       1.2266918      0.82473471
       1.2267093      0.81258249
       1.2267268      0.80222586
       1.2267443      0.81288602
       1.2267617      0.81516068
       1.2267793      0.80161880
       1.2267968      0.80271590
       1.2268143      0.79553720
       1.2268318      0.79803859
       1.2268494      0.79754855
       1.2268668      0.80065335
       1.2268843      0.81837518
       1.2269017      0.82587570
       1.2269192      0.80877921
       1.2269368      0.78331549
       1.2269543      0.81028955
       1.2269718      0.84823827
       1.2269893      0.89538070
       1.2270069      0.96012064
       1.2270244      0.95272983
       1.2270419      0.90994655
       1.2270593      0.91846371
       1.2270768      0.92193421
       1.2270944      0.91219926
       1.2271119      0.91046950
       1.2271294      0.88793139
       1.2271469      0.83885440
       1.2271645      0.89532585
       1.2271820      0.88332722
       1.2271995      0.86847979
       1.2272169      0.84491772
       1.2272344      0.84011241
       1.2272520      0.83375288
       1.2272695      0.81641503
       1.2272870      0.79783745
       1.2273045      0.78542924
       1.2273221      0.78184172
       1.2273396      0.77483856
       1.2273570      0.76921409
       1.2273745      0.75423500
       1.2273920      0.75710575
       1.2274096      0.75600865
       1.2274271      0.74598480
       1.2274446      0.73432628
       1.2274621      0.72211189
       1.2274796      0.70465811
       1.2274972      0.70106985
       1.2275146      0.69396064
       1.2275321      0.68718494
       1.2275496      0.67945696
       1.2275671      0.68736340
       1.2275847      0.68137323
       1.2276022      0.68222422
       1.2276197      0.69128079
       1.2276372      0.69581437
       1.2276548      0.70007881
       1.2276722      0.70800609
       1.2276897      0.72737943
       1.2277072      0.73703612
       1.2277247      0.74880801
       1.2277423      0.75957423
       1.2277598      0.76809139
       1.2277773      0.78347640
       1.2277948      0.80501249
       1.2278122      0.81071011
       1.2278298      0.82637671
       1.2278473      0.83729652
       1.2278648      0.83940295
       1.2278823      0.84538215
       1.2278999      0.84510788
       1.2279174      0.84188240
       1.2279349      0.84881974
       1.2279524      0.82860748
       1.2279698      0.80675323
       1.2279874      0.86094636
       1.2280049      0.86683048
       1.2280224      0.87271460
       1.2280399      0.87173452
       1.2280575      0.86748143
       1.2280750      0.87216239
       1.2280924      0.87590350
       1.2281099      0.86830791
       1.2281273      0.86204346
       1.2281449      0.85675544
       1.2281624      0.85325203
       1.2281799      0.84616475
       1.2281974      0.85380058
       1.2282149      0.86556150
       1.2282325      0.86367814
       1.2282500      0.86051483
       1.2282674      0.86385734
       1.2282849      0.86728760
       1.2283024      0.86255544
       1.2283200      0.85873387
       1.2283375      0.85615203
       1.2283550      0.86214220
       1.2283725      0.86131938
       1.2283901      0.86095368
       1.2284076      0.86188621
       1.2284250      0.85797322
       1.2284425      0.85158809
       1.2284600      0.83911039
       1.2284776      0.83167936
       1.2284951      0.82141415
       1.2285126      0.80399950
       1.2285301      0.79320037
       1.2285477      0.76244863
       1.2285652      0.74542894
       1.2285826      0.73733160
       1.2286001      0.72320825
       1.2286176      0.71687103
       1.2286352      0.71928539
       1.2286527      0.73015583
       1.2286702      0.73766512
       1.2286877      0.74558985
       1.2287053      0.74798518
       1.2287227      0.75091810
       1.2287402      0.76305204
       1.2287577      0.76195494
       1.2287752      0.76309958
       1.2287928      0.77333919
       1.2288103      0.77510552
       1.2288278      0.77634159
       1.2288453      0.78285105
       1.2288629      0.81808262
       1.2288803      0.82870622
       1.2288978      0.82683383
       1.2289153      0.82994594
       1.2289328      0.82448604
       1.2289504      0.81046509
       1.2289679      0.80725424
       1.2289854      0.80754680
       1.2290029      0.79487528
       1.2290204      0.78435408
       1.2290379      0.77752646
       1.2290554      0.76943717
       1.2290729      0.75937675
       1.2290904      0.75234068
       1.2291079      0.75451659
       1.2291255      0.74809489
       1.2291430      0.74012628
       1.2291605      0.73571594
       1.2291779      0.73593170
       1.2291954      0.74188165
       1.2292130      0.73939123
       1.2292305      0.74364066
       1.2292480      0.74327862
       1.2292655      0.74625908
       1.2292831      0.75674371
       1.2293005      0.76651888
       1.2293180      0.76646037
       1.2293354      0.76395532
       1.2293529      0.76477814
       1.2293705      0.76057625
       1.2293880      0.74507055
       1.2294055      0.73145041
       1.2294230      0.71100557
       1.2294406      0.70995747
       1.2294581      0.72529896
       1.2294756      0.72993495
       1.2294930      0.74171342
       1.2295105      0.74466828
       1.2295281      0.74953941
       1.2295456      0.73480900
       1.2295631      0.73021288
       1.2295806      0.71527439
       1.2295982      0.70246098
       1.2296157      0.68591231
       1.2296331      0.66378012
       1.2296506      0.65422876
       1.2296681      0.64146948
       1.2296857      0.63467696
       1.2297032      0.62516985
       1.2297207      0.61845705
       1.2297382      0.61960828
       1.2297557      0.56728168
       1.2297733      0.63169613
       1.2297907      0.64154481
       1.2298082      0.65157999
       1.2298257      0.66956111
       1.2298432      0.68608163
       1.2298608      0.69947138
       1.2298783      0.71235829
       1.2298958      0.71768143
       1.2299133      0.72117569
       1.2299309      0.72617408
       1.2299483      0.71476241
       1.2299658      0.70657913
       1.2299833      0.68866164
       1.2300008      0.67202886
       1.2300184      0.65919863
       1.2300359      0.63414377
       1.2300534      0.62634374
       1.2300709      0.61026536
       1.2300883      0.61487648
       1.2301059      0.62037734
       1.2301234      0.61162394
       1.2301409      0.62362074
       1.2301584      0.62383431
       1.2301760      0.63420630
       1.2301935      0.63705803
       1.2302110      0.63988014
       1.2302285      0.63345479
       1.2302459      0.64828979
       1.2302635      0.66644717
       1.2302810      0.68315639
       1.2302985      0.69409046
       1.2303160      0.71134676
       1.2303336      0.72786874
       1.2303511      0.73125732
       1.2303686      0.73670077
       1.2303861      0.74117219
       1.2304035      0.75224559
       1.2304211      0.76038974
       1.2304386      0.76921775
       1.2304561      0.77035507
       1.2304736      0.78531222
       1.2304912      0.80073380
       1.2305087      0.81235941
       1.2305261      0.81627241
       1.2305435      0.83306902
       1.2305610      0.83457205
       1.2305786      0.84446059
       1.2305961      0.85701874
       1.2306136      0.85938482
       1.2306311      0.85538406
       1.2306486      0.86297234
       1.2306662      0.85294484
       1.2306837      0.86116212
       1.2307011      0.85587775
       1.2307186      0.85622151
       1.2307361      0.85218052
       1.2307537      0.84450813
       1.2307712      0.83351884
       1.2307887      0.82208704
       1.2308062      0.81096610
       1.2308238      0.81787783
       1.2308413      0.81141225
       1.2308587      0.80769308
       1.2308762      0.80801124
       1.2308937      0.80441275
       1.2309113      0.81215462
       1.2309288      0.81679536
       1.2309463      0.82146901
       1.2309638      0.78862181
       1.2309814      0.77293326
       1.2309988      0.83054569
       1.2310163      0.83661632
       1.2310338      0.82563068
       1.2310513      0.82925477
       1.2310689      0.81182915
       1.2310864      0.78526468
       1.2311039      0.75412895
       1.2311214      0.72739772
       1.2311390      0.70431106
       1.2311564      0.68998474
       1.2311739      0.66198417
       1.2311914      0.64783010
       1.2312089      0.63151584
       1.2312265      0.63518236
       1.2312440      0.62381822
       1.2312615      0.63365665
       1.2312790      0.62511097
       1.2312964      0.63677681
       1.2313140      0.63805676
       1.2313315      0.65611248
       1.2313490      0.67775061
       1.2313665      0.69273957
       1.2313840      0.71115038
       1.2314016      0.73479437
       1.2314191      0.75208103
       1.2314366      0.75656086
       1.2314540      0.76394435
       1.2314715      0.75460802
       1.2314891      0.75839667
       1.2315066      0.75571609
       1.2315241      0.73968379
       1.2315416      0.73304450
       1.2315592      0.73299513
