### NIRSPEC Brown Dwarf Spectroscopic Survey (BDSS)
### McLean et al. 2007, ApJ, 658. 1217
### Please cite the above reference if you use  
### or display this data in your publication.
###     2MASS 0036 -- NIRSPEC-3 Filter, dispersion order 61
### lambda (microns)   Flambda (Normalized)
       1.2407113      0.53840532
       1.2407291      0.53970207
       1.2407470      0.54143647
       1.2407649      0.54363207
       1.2407828      0.53768535
       1.2408007      0.52966818
       1.2408185      0.53057071
       1.2408364      0.53204892
       1.2408543      0.53127227
       1.2408722      0.53906124
       1.2408901      0.53821429
       1.2409080      0.53651081
       1.2409258      0.55391148
       1.2409437      0.55411135
       1.2409616      0.55415625
       1.2409795      0.55450630
       1.2409974      0.54947352
       1.2410152      0.54375391
       1.2410331      0.53542754
       1.2410510      0.53521626
       1.2410689      0.53239198
       1.2410868      0.54056596
       1.2411046      0.55294453
       1.2411225      0.55868807
       1.2411404      0.57120283
       1.2411583      0.58988516
       1.2411762      0.59820932
       1.2411941      0.61163692
       1.2412119      0.62348067
       1.2412298      0.64596013
       1.2412477      0.66023764
       1.2412656      0.67753782
       1.2412835      0.69499739
       1.2413013      0.71306907
       1.2413192      0.70468455
       1.2413371      0.70666188
       1.2413550      0.72447849
       1.2413729      0.71102769
       1.2413907      0.71886304
       1.2414086      0.71661480
       1.2414265      0.70587603
       1.2414444      0.69506953
       1.2414622      0.70407059
       1.2414799      0.69027564
       1.2414978      0.68010004
       1.2415157      0.67622524
       1.2415336      0.66367367
       1.2415515      0.65487322
       1.2415693      0.65584017
       1.2415872      0.62759288
       1.2416051      0.63076831
       1.2416230      0.63334856
       1.2416409      0.62586842
       1.2416587      0.62832131
       1.2416766      0.64322676
       1.2416945      0.63823079
       1.2417124      0.64291389
       1.2417303      0.65507640
       1.2417482      0.66402151
       1.2417660      0.66910066
       1.2417839      0.64264188
       1.2418018      0.64190314
       1.2418197      0.65152662
       1.2418376      0.64650931
       1.2418554      0.64107680
       1.2418733      0.62482527
       1.2418912      0.61803307
       1.2419091      0.60473466
       1.2419270      0.58481079
       1.2419449      0.56877055
       1.2419627      0.55387982
       1.2419806      0.55268577
       1.2419985      0.54978013
       1.2420164      0.53931043
       1.2420343      0.52974437
       1.2420521      0.52796543
       1.2420700      0.54764416
       1.2420879      0.54378704
       1.2421058      0.54452173
       1.2421237      0.52990816
       1.2421415      0.53812926
       1.2421594      0.54963695
       1.2421773      0.56397372
       1.2421952      0.48874564
       1.2422131      0.57068678
       1.2422310      0.56810874
       1.2422488      0.57420895
       1.2422667      0.57547883
       1.2422846      0.58575014
       1.2423025      0.58039492
       1.2423204      0.57819159
       1.2423382      0.57617855
       1.2423561      0.57015969
       1.2423740      0.56658672
       1.2423919      0.56001647
       1.2424098      0.54907747
       1.2424276      0.54691941
       1.2424455      0.54873110
       1.2424634      0.54618803
       1.2424813      0.54878374
       1.2424992      0.54668568
       1.2425171      0.56023143
       1.2425349      0.56824309
       1.2425528      0.57228830
       1.2425707      0.58331418
       1.2425886      0.65895009
       1.2426065      0.71511928
       1.2426243      0.65357831
       1.2426422      0.60890502
       1.2426601      0.61215408
       1.2426779      0.61491910
       1.2426958      0.61397424
       1.2427137      0.61431987
       1.2427315      0.60611239
       1.2427494      0.60476485
       1.2427673      0.58608104
       1.2427852      0.57372161
       1.2428031      0.56247710
       1.2428209      0.55357505
       1.2428388      0.54597270
       1.2428567      0.54303394
       1.2428746      0.54006279
       1.2428925      0.53691128
       1.2429103      0.53513713
       1.2429282      0.53861181
       1.2429461      0.54367808
       1.2429640      0.53920001
       1.2429819      0.53394638
       1.2429996      0.52569695
       1.2430175      0.52373839
       1.2430354      0.51684717
       1.2430533      0.51432103
       1.2430712      0.51439980
       1.2430890      0.51220235
       1.2431069      0.50044989
       1.2431248      0.49467800
       1.2431427      0.49495480
       1.2431606      0.49241688
       1.2431784      0.49657031
       1.2431963      0.49982783
       1.2432142      0.50067773
       1.2432321      0.48575498
       1.2432500      0.48658316
       1.2432679      0.48138365
       1.2432857      0.47380817
       1.2433036      0.46908237
       1.2433215      0.45733395
       1.2433394      0.44611815
       1.2433573      0.43542539
       1.2433751      0.42751127
       1.2433930      0.41353229
       1.2434109      0.39916902
       1.2434288      0.40114267
       1.2434467      0.37256447
       1.2434646      0.35819201
       1.2434824      0.34533935
       1.2435003      0.33058002
       1.2435182      0.31427623
       1.2435361      0.30244389
       1.2435540      0.29167568
       1.2435718      0.28586110
       1.2435897      0.28811412
       1.2436076      0.28641690
       1.2436255      0.28958645
       1.2436434      0.29368282
       1.2436612      0.30137903
       1.2436791      0.30648911
       1.2436970      0.30901267
       1.2437149      0.33185947
       1.2437328      0.34666701
       1.2437507      0.36348980
       1.2437685      0.37735873
       1.2437864      0.38988675
       1.2438043      0.41546287
       1.2438222      0.44153075
       1.2438401      0.44581595
       1.2438579      0.46266892
       1.2438758      0.47506700
       1.2438936      0.47888695
       1.2439115      0.48374341
       1.2439294      0.48930770
       1.2439472      0.49005306
       1.2439651      0.49742463
       1.2439830      0.50066632
       1.2440009      0.50950947
       1.2440188      0.50768342
       1.2440367      0.52656047
       1.2440545      0.51828048
       1.2440724      0.52082097
       1.2440903      0.52854148
       1.2441082      0.53034802
       1.2441261      0.52882453
       1.2441439      0.53227456
       1.2441618      0.53130945
       1.2441797      0.53993028
       1.2441976      0.54737288
       1.2442155      0.55125172
       1.2442334      0.56170192
       1.2442512      0.56774949
       1.2442691      0.57306348
       1.2442870      0.58227582
       1.2443049      0.58422002
       1.2443228      0.58800721
       1.2443406      0.59716728
       1.2443585      0.59927418
       1.2443764      0.59576894
       1.2443943      0.60846038
       1.2444122      0.62115808
       1.2444300      0.61708526
       1.2444479      0.61887266
       1.2444658      0.61039943
       1.2444837      0.62446787
       1.2445016      0.61441152
       1.2445195      0.61771910
       1.2445372      0.61838901
       1.2445551      0.61490953
       1.2445730      0.60107189
       1.2445909      0.60179885
       1.2446087      0.60480166
       1.2446266      0.59235867
       1.2446445      0.60302529
       1.2446624      0.61249345
       1.2446803      0.61304263
       1.2446981      0.62087429
       1.2447160      0.62221816
       1.2447339      0.61793627
       1.2447518      0.63369714
       1.2447697      0.65047023
       1.2447876      0.65377597
       1.2448054      0.66412016
       1.2448233      0.67137614
       1.2448412      0.68693457
       1.2448591      0.70046892
       1.2448770      0.70490798
       1.2448948      0.69532903
       1.2449127      0.71782799
       1.2449306      0.72022641
       1.2449485      0.71955430
       1.2449664      0.72383545
       1.2449843      0.70820377
       1.2450021      0.69353795
       1.2450200      0.68366453
       1.2450379      0.66672580
       1.2450558      0.66977462
       1.2450737      0.66962113
       1.2450915      0.67107358
       1.2451094      0.66759484
       1.2451272      0.66444591
       1.2451451      0.67018871
       1.2451630      0.66212111
       1.2451808      0.67689478
       1.2451987      0.69620690
       1.2452166      0.70546194
       1.2452345      0.71118413
       1.2452524      0.74192296
       1.2452703      0.76690095
       1.2452881      0.78010771
       1.2453060      0.78199229
       1.2453239      0.79766887
       1.2453418      0.79770199
       1.2453597      0.80668318
       1.2453775      0.81031982
       1.2453954      0.80148219
       1.2454133      0.80012765
       1.2454312      0.79269977
       1.2454491      0.79350955
       1.2454669      0.78539704
       1.2454848      0.77530425
       1.2455027      0.76704819
       1.2455206      0.77668455
       1.2455385      0.76873032
       1.2455564      0.77073636
       1.2455742      0.77906604
       1.2455921      0.78036169
       1.2456100      0.78194443
       1.2456279      0.78090276
       1.2456458      0.78133710
       1.2456636      0.78927293
       1.2456815      0.78331738
       1.2456994      0.78582033
       1.2457173      0.79740753
       1.2457352      0.81576742
       1.2457531      0.87155013
       1.2457709      0.83925100
       1.2457888      0.84932171
       1.2458067      0.82452775
       1.2458246      0.77626126
       1.2458425      0.76562739
       1.2458603      0.76396367
       1.2458782      0.75925223
       1.2458961      0.76050738
       1.2459140      0.76997075
       1.2459319      0.77089464
       1.2459497      0.78474553
       1.2459676      0.79275866
       1.2459855      0.80886590
       1.2460034      0.75454152
       1.2460213      0.78286832
       1.2460392      0.78932446
       1.2460569      0.80032273
       1.2460748      0.80831378
       1.2460927      0.81129523
       1.2461106      0.79841239
       1.2461284      0.79412056
       1.2461463      0.77461226
       1.2461642      0.78183769
       1.2461821      0.77310680
       1.2462000      0.70936875
       1.2462178      0.72400734
       1.2462357      0.74899380
       1.2462536      0.72963825
       1.2462715      0.70954028
       1.2462894      0.69596029
       1.2463073      0.67492371
       1.2463251      0.66607172
       1.2463429      0.66235557
       1.2463608      0.65405645
       1.2463787      0.63992802
       1.2463966      0.63122658
       1.2464144      0.61490364
       1.2464323      0.61946380
       1.2464502      0.63061004
       1.2464681      0.63631935
       1.2464860      0.64991185
       1.2465038      0.64732608
       1.2465217      0.63973809
       1.2465396      0.65095683
       1.2465575      0.66903441
       1.2465754      0.68536875
       1.2465933      0.68495797
       1.2466111      0.71947221
       1.2466290      0.68759417
       1.2466469      0.73955988
       1.2466648      0.76124355
       1.2466827      0.76587769
       1.2467005      0.77393131
       1.2467184      0.76738314
       1.2467363      0.76999652
       1.2467542      0.76559059
