### NIRSPEC Brown Dwarf Spectroscopic Survey (BDSS)
### McLean et al. 2007, ApJ, 658. 1217
### Please cite the above reference if you use  
### or display this data in your publication.
###     2MASS 0036 -- NIRSPEC-3 Filter, dispersion order 63
### lambda (microns)   Flambda (Normalized)
       1.2015904      0.62280829
       1.2016077      0.63977724
       1.2016249      0.66120745
       1.2016422      0.66110162
       1.2016593      0.65610530
       1.2016766      0.63990145
       1.2016938      0.62960123
       1.2017111      0.60958326
       1.2017284      0.60750551
       1.2017455      0.61697999
       1.2017628      0.60745222
       1.2017800      0.59361717
       1.2017973      0.58360727
       1.2018144      0.59848965
       1.2018317      0.59339779
       1.2018489      0.58780688
       1.2018662      0.59675990
       1.2018833      0.58927388
       1.2019006      0.56941319
       1.2019178      0.57116940
       1.2019351      0.56125835
       1.2019524      0.55440036
       1.2019695      0.54404906
       1.2019868      0.52551058
       1.2020040      0.50880585
       1.2020213      0.51411379
       1.2020384      0.51240242
       1.2020557      0.51331304
       1.2020729      0.53176627
       1.2020902      0.53138592
       1.2021073      0.53153034
       1.2021246      0.55138405
       1.2021418      0.55117936
       1.2021591      0.55260409
       1.2021762      0.57563396
       1.2021935      0.58121752
       1.2022108      0.59357896
       1.2022280      0.61108664
       1.2022453      0.61037372
       1.2022624      0.59877996
       1.2022797      0.59399458
       1.2022969      0.58598122
       1.2023142      0.58388950
       1.2023313      0.57009046
       1.2023486      0.57484902
       1.2023658      0.56354373
       1.2023831      0.54867936
       1.2024002      0.54532276
       1.2024175      0.54120620
       1.2024348      0.53338981
       1.2024520      0.51786838
       1.2024693      0.51745239
       1.2024864      0.52283419
       1.2025037      0.52361363
       1.2025209      0.52259680
       1.2025381      0.54021179
       1.2025552      0.55085560
       1.2025725      0.56468698
       1.2025897      0.57829455
       1.2026070      0.59665737
       1.2026241      0.60212811
       1.2026414      0.61841538
       1.2026586      0.63845246
       1.2026759      0.65203505
       1.2026931      0.65699351
       1.2027103      0.67079806
       1.2027276      0.68495282
       1.2027448      0.68831493
       1.2027621      0.68427628
       1.2027792      0.67817310
       1.2027965      0.69955958
       1.2028137      0.68629487
       1.2028310      0.66925609
       1.2028481      0.66211514
       1.2028654      0.65012817
       1.2028826      0.62173854
       1.2028999      0.59206088
       1.2029171      0.53306091
       1.2029343      0.46841235
       1.2029516      0.48740651
       1.2029688      0.48630699
       1.2029860      0.46304818
       1.2030032      0.47348841
       1.2030205      0.46912968
       1.2030377      0.45438106
       1.2030549      0.44156799
       1.2030721      0.44266236
       1.2030894      0.43657277
       1.2031066      0.45396948
       1.2031239      0.45334071
       1.2031410      0.45801254
       1.2031583      0.47452875
       1.2031756      0.48094540
       1.2031928      0.48847147
       1.2032100      0.50314218
       1.2032272      0.52376430
       1.2032445      0.53014529
       1.2032617      0.54892080
       1.2032789      0.55765627
       1.2032961      0.56767903
       1.2033134      0.57709251
       1.2033306      0.58365468
       1.2033478      0.59182275
       1.2033650      0.59678048
       1.2033823      0.61649087
       1.2033996      0.64001794
       1.2034167      0.62917752
       1.2034340      0.63809306
       1.2034512      0.63943695
       1.2034685      0.64058240
       1.2034857      0.63129166
       1.2035029      0.63536780
       1.2035201      0.63967912
       1.2035374      0.62612520
       1.2035546      0.61833968
       1.2035718      0.61241363
       1.2035890      0.60170550
       1.2036063      0.60503822
       1.2036235      0.59585883
       1.2036407      0.62275133
       1.2036580      0.63453728
       1.2036752      0.62440133
       1.2036925      0.60519219
       1.2037096      0.60606350
       1.2037269      0.63498708
       1.2037441      0.65715043
       1.2037613      0.66575360
       1.2037784      0.65859942
       1.2037957      0.65423003
       1.2038129      0.66782180
       1.2038302      0.67592667
       1.2038474      0.68060989
       1.2038646      0.69382425
       1.2038819      0.69735614
       1.2038991      0.68890805
       1.2039164      0.71119964
       1.2039335      0.72400133
       1.2039508      0.72821711
       1.2039680      0.73638297
       1.2039853      0.73605150
       1.2040024      0.74257472
       1.2040197      0.75322478
       1.2040369      0.75441947
       1.2040542      0.74997658
       1.2040713      0.75339419
       1.2040886      0.73592766
       1.2041058      0.73813918
       1.2041231      0.72206174
       1.2041404      0.72105300
       1.2041575      0.71326858
       1.2041748      0.70280226
       1.2041920      0.69294192
       1.2042093      0.69903334
       1.2042264      0.68190233
       1.2042437      0.68606152
       1.2042609      0.68611223
       1.2042782      0.70585753
       1.2042953      0.70783055
       1.2043126      0.71367833
       1.2043298      0.73179310
       1.2043471      0.74016365
       1.2043644      0.73639620
       1.2043815      0.74079719
       1.2043988      0.74100115
       1.2044160      0.73840744
       1.2044333      0.74220650
       1.2044504      0.73100558
       1.2044677      0.73519012
       1.2044849      0.71102729
       1.2045022      0.69443722
       1.2045193      0.68904328
       1.2045366      0.69725729
       1.2045538      0.69879632
       1.2045711      0.69339136
       1.2045882      0.67239845
       1.2046055      0.68694532
       1.2046228      0.68567713
       1.2046400      0.69115889
       1.2046573      0.68571277
       1.2046744      0.69822414
       1.2046917      0.68277547
       1.2047089      0.69121181
       1.2047262      0.67379342
       1.2047433      0.66489699
       1.2047606      0.65327788
       1.2047778      0.62785238
       1.2047951      0.54153326
       1.2048122      0.55432135
       1.2048295      0.58737619
       1.2048468      0.61465344
       1.2048640      0.60324085
       1.2048813      0.59057440
       1.2048984      0.58434334
       1.2049157      0.56857643
       1.2049329      0.55240822
       1.2049502      0.53882601
       1.2049672      0.54801311
       1.2049845      0.55696797
       1.2050017      0.53936878
       1.2050190      0.52329355
       1.2050361      0.53608862
       1.2050534      0.54918171
       1.2050706      0.55397444
       1.2050879      0.56564905
       1.2051051      0.60296450
       1.2051223      0.62914629
       1.2051396      0.64188660
       1.2051568      0.66192037
       1.2051741      0.69371658
       1.2051912      0.71153993
       1.2052085      0.72034743
       1.2052257      0.74432835
       1.2052430      0.76206682
       1.2052601      0.79192491
       1.2052774      0.80783698
       1.2052946      0.82200717
       1.2053119      0.82001908
       1.2053291      0.81674112
       1.2053463      0.82856677
       1.2053636      0.81633322
       1.2053808      0.80581582
       1.2053980      0.78416364
       1.2054152      0.77114000
       1.2054325      0.75687059
       1.2054497      0.74277536
       1.2054669      0.74466533
       1.2054841      0.75854632
       1.2055014      0.75539698
