### NIRSPEC Brown Dwarf Spectroscopic Survey (BDSS)
### McLean et al. 2007, ApJ, 658. 1217
### Please cite the above reference if you use  
### or display this data in your publication.
###     2MASS 0036 -- NIRSPEC-3 Filter, dispersion order 65
### lambda (microns)   Flambda (Normalized)
       1.1648875      0.95555641
       1.1649040      0.90207061
       1.1649207      0.89697944
       1.1649374      0.90013695
       1.1649540      0.82353488
       1.1649707      0.83353976
       1.1649873      0.82545713
       1.1650039      0.80663409
       1.1650205      0.78565220
       1.1650372      0.79820266
       1.1650539      0.83211603
       1.1650705      0.82428347
       1.1650871      0.80018732
       1.1651037      0.80225234
       1.1651204      0.83666871
       1.1651371      0.88717242
       1.1651537      0.87916036
       1.1651704      0.87816089
       1.1651869      0.91117189
       1.1652036      0.92336947
       1.1652203      0.91071907
       1.1652369      0.89460112
       1.1652536      0.92051385
       1.1652701      0.89172102
       1.1652868      0.91244060
       1.1653034      0.91090264
       1.1653201      0.89086841
       1.1653368      0.87605181
       1.1653533      0.88910201
       1.1653700      0.86826412
       1.1653866      0.83019460
       1.1654033      0.82636685
       1.1654200      0.79793586
       1.1654366      0.75350728
       1.1654532      0.78867916
       1.1654698      0.79961415
       1.1654865      0.77532790
       1.1655031      0.78213285
       1.1655198      0.78455891
       1.1655364      0.75173149
       1.1655530      0.71502573
       1.1655697      0.71646497
       1.1655863      0.72659427
       1.1656030      0.76154667
       1.1656197      0.77810928
       1.1656362      0.78022040
       1.1656529      0.80039945
       1.1656695      0.82656021
       1.1656862      0.82635583
       1.1657029      0.79193539
       1.1657194      0.79222544
       1.1657361      0.75987124
       1.1657527      0.75606061
       1.1657694      0.73512564
       1.1657860      0.71282405
       1.1658026      0.63105943
       1.1658193      0.66432090
       1.1658359      0.65724793
       1.1658526      0.66276418
       1.1658692      0.66864880
       1.1658859      0.65887482
       1.1659025      0.66363066
       1.1659191      0.68985587
       1.1659358      0.69099037
       1.1659524      0.72103151
       1.1659691      0.76893254
       1.1659856      0.80554487
       1.1660023      0.84912330
       1.1660190      0.87741435
       1.1660356      0.91723396
       1.1660522      0.91817224
       1.1660687      0.93152839
       1.1660854      0.95381856
       1.1661021      0.92272900
       1.1661187      0.91344822
       1.1661354      0.76611608
       1.1661519      0.74342122
       1.1661686      0.92299416
       1.1661853      0.93392303
       1.1662019      0.89136611
       1.1662186      0.89090921
       1.1662352      0.89420133
       1.1662518      0.89658782
       1.1662684      0.87701049
       1.1662851      0.88633205
       1.1663018      0.88319903
       1.1663184      0.87761425
       1.1663351      0.89511921
       1.1663516      0.87032017
       1.1663683      0.87583152
       1.1663850      0.86947572
       1.1664016      0.89877849
       1.1664183      0.91558586
       1.1664348      0.88700108
       1.1664515      0.89879072
       1.1664682      0.90697412
       1.1664848      0.89059509
       1.1665015      0.87109935
       1.1665180      0.87648424
       1.1665347      0.87422014
       1.1665513      0.86227140
       1.1665680      0.86154933
       1.1665847      0.85935866
       1.1666012      0.86234891
       1.1666179      0.86563695
       1.1666345      0.85888137
       1.1666512      0.89141914
       1.1666679      0.92066887
       1.1666845      0.89822368
       1.1667011      0.90116905
       1.1667177      0.89420133
       1.1667344      0.88900410
       1.1667510      0.89214936
       1.1667677      0.91947359
       1.1667843      0.90809597
       1.1668009      0.89916603
       1.1668176      0.90041027
       1.1668342      0.91203673
       1.1668509      0.89954542
       1.1668676      0.89637160
       1.1668841      0.88093085
       1.1669008      0.90835298
       1.1669174      0.90321694
       1.1669341      0.88748654
       1.1669508      0.86511886
       1.1669673      0.88656050
       1.1669840      0.88034341
       1.1670006      0.84479499
       1.1670173      0.79736719
       1.1670339      0.80034397
       1.1670505      0.77650157
       1.1670672      0.74800246
       1.1670838      0.74667378
       1.1671005      0.74102903
       1.1671171      0.75103186
       1.1671338      0.75050725
       1.1671504      0.74697362
       1.1671670      0.76637716
       1.1671837      0.77023266
       1.1672003      0.77446265
       1.1672170      0.79762134
       1.1672335      0.81411052
       1.1672502      0.83264228
       1.1672668      0.84311833
       1.1672834      0.84926608
       1.1673001      0.85963199
       1.1673166      0.85201563
       1.1673333      0.84905395
       1.1673500      0.86112915
       1.1673666      0.88460236
       1.1673833      0.86435192
       1.1673998      0.90183808
       1.1674165      0.87828736
       1.1674332      0.85704561
       1.1674498      0.85613589
       1.1674665      0.85139964
       1.1674831      0.86013784
       1.1674997      0.84621464
       1.1675163      0.84337534
       1.1675330      0.84870719
       1.1675497      0.86212862
       1.1675663      0.84682656
       1.1675830      0.86606530
       1.1675995      0.85930971
       1.1676162      0.86391542
       1.1676329      0.86668129
       1.1676495      0.84685920
       1.1676662      0.82467917
       1.1676827      0.81865952
       1.1676994      0.82918290
       1.1677160      0.81715012
       1.1677327      0.79061731
       1.1677494      0.74995693
       1.1677659      0.74712537
       1.1677826      0.73766266
       1.1677992      0.70458109
       1.1678159      0.70319000
       1.1678326      0.70544920
       1.1678491      0.69579353
       1.1678658      0.69677545
       1.1678824      0.70532845
       1.1678991      0.70122818
       1.1679158      0.71516280
       1.1679324      0.74906108
       1.1679490      0.75971214
       1.1679656      0.78146341
       1.1679823      0.79533929
       1.1679989      0.80179136
       1.1680156      0.81591812
       1.1680323      0.82731858
       1.1680488      0.84708357
       1.1680655      0.86347484
       1.1680821      0.87671269
       1.1680988      0.86224284
       1.1681155      0.86511886
       1.1681320      0.86437232
       1.1681487      0.85566267
       1.1681653      0.85009421
       1.1681820      0.85589928
       1.1681985      0.84162933
       1.1682152      0.80750587
       1.1682319      0.79244369
       1.1682485      0.79312740
       1.1682652      0.79562567
       1.1682818      0.77763239
       1.1682984      0.74124850
       1.1683151      0.74882977
       1.1683317      0.74609490
       1.1683484      0.71094587
       1.1683650      0.71334704
       1.1683817      0.71689657
       1.1683983      0.71730738
       1.1684149      0.69997253
       1.1684316      0.70718175
       1.1684482      0.70620798
       1.1684649      0.73164423
       1.1684813      0.71576412
       1.1684980      0.70721724
       1.1685147      0.71553648
       1.1685313      0.72482378
       1.1685480      0.71776101
       1.1685645      0.72257885
       1.1685812      0.70215055
       1.1685979      0.68337606
       1.1686145      0.68127718
       1.1686312      0.66243497
       1.1686477      0.65690730
       1.1686644      0.67623700
       1.1686811      0.65647977
       1.1686977      0.65361721
       1.1687144      0.65691382
       1.1687310      0.64054499
       1.1687476      0.65475742
       1.1687642      0.63353322
       1.1687809      0.61864971
       1.1687976      0.62316200
       1.1688142      0.61118308
       1.1688309      0.59828954
       1.1688474      0.59945749
       1.1688641      0.58477388
       1.1688808      0.57595123
       1.1688974      0.55072548
       1.1689141      0.56152667
       1.1689306      0.54436111
       1.1689473      0.54132763
       1.1689639      0.53967218
       1.1689806      0.53420163
       1.1689973      0.51765738
       1.1690138      0.50649760
       1.1690305      0.51586976
       1.1690471      0.47681953
       1.1690638      0.50953803
       1.1690805      0.50792582
       1.1690970      0.49585837
       1.1691137      0.47713814
       1.1691303      0.47600160
       1.1691470      0.45560634
       1.1691637      0.42834576
       1.1691803      0.41740301
       1.1691969      0.41226044
       1.1692135      0.38101586
       1.1692302      0.36940776
